Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1490000,1.3637744,139.14285714285714,0.97244495,4.301523864269257,4.301523864269257,1.0
1500000,1.3637745,382.2173913043478,0.19227032,1.594408932057294,1.594408932057294,1.0
1510000,1.3633941,383.1923076923077,0.12016587,1.8262962147041604,1.8262962147041604,1.0
1520000,1.3625641,329.83870967741933,0.47554532,2.373161229395097,2.373161229395097,1.0
1530000,1.362343,610.0,0.047507335,-0.5883128009736538,-0.5883128009736538,1.0
1540000,1.3618128,423.95652173913044,0.30867988,1.3393477227376855,1.3393477227376855,1.0
1550000,1.3615648,428.875,0.32875687,1.1749999076128006,1.1749999076128006,1.0
1560000,1.3606255,338.81481481481484,0.53446287,2.373925824960073,2.373925824960073,1.0
1570000,1.3605121,522.45,0.4369671,0.6327498912811279,0.6327498912811279,1.0
1580000,1.3598058,333.6551724137931,0.31487244,2.2875860580082596,2.2875860580082596,1.0
1590000,1.3599005,475.4761904761905,0.23736559,0.6915713037763324,0.6915713037763324,1.0
1600000,1.3608595,550.3,0.3130786,-0.014750102162361145,-0.014750102162361145,1.0
1610000,1.360903,433.4583333333333,0.26143909,1.2799544469876722,1.2799544469876722,1.0
1620000,1.361323,372.22727272727275,0.31440535,1.8118332301576932,1.8118332301576932,1.0
1630000,1.3612357,379.1111111111111,0.35637802,1.6609999170670142,1.6609999170670142,1.0
1640000,1.3598746,485.39130434782606,0.15936075,0.7737916111946106,0.7737916111946106,1.0
1650000,1.3598212,482.8181818181818,0.078835,-0.26583348711331684,-0.26583348711331684,1.0
1660000,1.3586992,358.8076923076923,0.61978006,2.464466545979182,2.464466545979182,1.0
1670000,1.3586992,558.95,0.14648798,-0.3182633017238818,-0.3182633017238818,1.0
1680000,1.358026,355.14285714285717,0.61108136,2.8201362734491173,2.8201362734491173,1.0
1690000,1.3579413,418.9655172413793,0.75340813,1.7239641738789422,1.7239641738789422,1.0
1700000,1.3576497,334.58620689655174,0.34347743,2.1501724062294794,2.1501724062294794,1.0
1710000,1.3576223,394.17391304347825,0.28699508,1.4797391010367351,1.4797391010367351,1.0
1720000,1.3589114,437.8695652173913,0.2871901,1.345782484697259,1.345782484697259,1.0
1730000,1.3592969,340.2142857142857,0.4115789,2.4935356357267926,2.4935356357267926,1.0
1740000,1.3590312,600.6,-0.057775356,-0.7411430023965382,-0.7411430023965382,1.0
1750000,1.3588523,279.68,0.2401329,2.7878000235557554,2.7878000235557554,1.0
1760000,1.3580145,276.8780487804878,0.45657262,2.742804831121026,2.742804831121026,1.0
1770000,1.357638,337.2962962962963,0.44698125,2.1811480235170433,2.1811480235170433,1.0
1780000,1.3572637,499.3157894736842,0.24834058,0.381315667378275,0.381315667378275,1.0
1790000,1.3570405,442.6296296296296,0.41201177,1.0947405806294195,1.0947405806294195,1.0
1800000,1.3573749,296.8857142857143,0.74199134,2.7505293155417725,2.7505293155417725,1.0
1810000,1.3576224,349.57142857142856,0.42637056,2.227206824154689,2.227206824154689,1.0
1820000,1.3570861,357.4074074074074,0.3386815,2.075518473430916,2.075518473430916,1.0
1830000,1.3565291,273.7647058823529,0.50629854,2.879764719921,2.879764719921,1.0
1840000,1.3555359,314.48387096774195,0.6846177,2.6039031244093374,2.6039031244093374,1.0
1850000,1.3543783,329.48387096774195,0.5900261,2.3661935117936905,2.3661935117936905,1.0
1860000,1.3539118,232.76190476190476,0.8844421,3.340952359494709,3.340952359494709,1.0
1870000,1.3532813,427.52,0.19046378,1.090208224952221,1.090208224952221,1.0
1880000,1.3536345,279.2352941176471,0.6945955,2.8862855792045594,2.8862855792045594,1.0
1890000,1.35433,566.0625,0.023988124,-0.7692002534866333,-0.7692002534866333,1.0
1900000,1.3544993,329.1666666666667,0.59405327,2.265594509807793,2.265594509807793,1.0
1910000,1.3548132,298.04347826086956,0.50804645,2.606521647909413,2.606521647909413,1.0
1920000,1.3548164,377.741935483871,0.43104357,1.6805998822053274,1.6805998822053274,1.0
1930000,1.3548806,357.5652173913044,0.60502315,2.1913332963983216,2.1913332963983216,1.0
1940000,1.3547906,329.3235294117647,0.6125006,2.286970482153051,2.286970482153051,1.0
1950000,1.3543264,418.1034482758621,0.56101745,1.7327498942613602,1.7327498942613602,1.0
1960000,1.3542211,272.15384615384613,1.0164906,2.999897313423646,2.999897313423646,1.0
1970000,1.353583,274.8235294117647,0.86153823,3.2166856561388286,3.2166856561388286,1.0
1980000,1.3535577,235.85365853658536,0.9492188,3.288574978709221,3.288574978709221,1.0
1990000,1.3529546,257.6341463414634,0.7794359,3.092121893312873,3.092121893312873,1.0
2000000,1.3529029,231.3846153846154,0.9263089,3.4324358854538355,3.4324358854538355,1.0
2010000,1.3522035,585.4117647058823,0.05406225,-0.34655577937761944,-0.34655577937761944,1.0
2020000,1.3522247,457.8421052631579,0.06659232,1.1401109496752422,1.1401109496752422,1.0
2030000,1.3525804,378.5483870967742,0.21678175,1.2889998362910362,1.2889998362910362,1.0
2040000,1.3525804,394.60869565217394,0.22896147,1.5945414900779724,1.5945414900779724,1.0
2050000,1.352312,355.48387096774195,0.29771584,2.107899922132492,2.107899922132492,1.0
2060000,1.3522605,325.1304347826087,0.39821962,1.9338749051094055,1.9338749051094055,1.0
2070000,1.3512765,298.8787878787879,0.31972238,2.421393799059319,2.421393799059319,1.0
2080000,1.3511332,292.8292682926829,0.56723595,2.411268222622755,2.411268222622755,1.0
2090000,1.3500931,436.85714285714283,0.106058545,0.8534284205663771,0.8534284205663771,1.0
2100000,1.3498572,394.76,0.26257104,1.376879906654358,1.376879906654358,1.0
2110000,1.3499868,378.7826086956522,0.17000857,1.396999868479642,1.396999868479642,1.0
2120000,1.3500296,552.0,0.0344668,0.07977754871050517,0.07977754871050517,1.0
2130000,1.350548,538.7619047619048,0.05019871,-0.12638120991843088,-0.12638120991843088,1.0
2140000,1.3507497,483.1304347826087,0.2287731,0.5729127992754397,0.5729127992754397,1.0
2150000,1.3498206,282.8235294117647,0.66327584,2.6759998763308808,2.6759998763308808,1.0
2160000,1.3493121,560.7857142857143,-0.04552073,-0.3615716142313821,-0.3615716142313821,1.0
2170000,1.3495586,480.0,-0.006656516,0.3777824147887852,0.3777824147887852,1.0
2180000,1.3497568,367.125,0.27418455,1.9462579546436187,1.9462579546436187,1.0
2190000,1.3501736,324.0,0.2650082,1.9115651327630747,1.9115651327630747,1.0
2200000,1.3504943,477.3333333333333,0.2206152,0.5347035461001926,0.5347035461001926,1.0
2210000,1.3503448,508.2,0.0836271,0.17924978137016295,0.17924978137016295,1.0
2220000,1.3501432,281.88235294117646,0.5744849,2.674529352608849,2.674529352608849,1.0
2230000,1.3497411,294.15384615384613,0.51588774,2.5386537267611575,2.5386537267611575,1.0
2240000,1.3491452,471.15,0.07977755,0.6171497911214828,0.6171497911214828,1.0
2250000,1.3492221,418.0344827586207,0.33505413,1.5597855406148093,1.5597855406148093,1.0
2260000,1.3493661,316.0625,0.3749733,2.076515008102764,2.076515008102764,1.0
2270000,1.3496482,307.5806451612903,0.73294526,2.6405160196365847,2.6405160196365847,1.0
2280000,1.3502862,493.27272727272725,0.20862207,0.4394998089833693,0.4394998089833693,1.0
2290000,1.3503377,314.2307692307692,0.49643937,2.4493075677981744,2.4493075677981744,1.0
2300000,1.3504449,387.3666666666667,0.3011504,1.5431665937105814,1.5431665937105814,1.0
2310000,1.3500795,313.9642857142857,0.40178835,2.346607037952968,2.346607037952968,1.0
2320000,1.3487389,372.76666666666665,0.581133,1.8663102244508678,1.8663102244508678,1.0
2330000,1.3487127,281.85714285714283,0.8731892,3.1389427849224636,3.1389427849224636,1.0
2340000,1.3486437,329.5,0.41248325,2.0063599157333374,2.0063599157333374,1.0
2350000,1.3486602,364.5483870967742,0.28390676,1.7142902670368072,1.7142902670368072,1.0
2360000,1.3487756,435.9047619047619,0.36630085,1.1449523653302873,1.1449523653302873,1.0
2370000,1.3487712,395.1290322580645,0.552171,1.5391378094410073,1.5391378094410073,1.0
2380000,1.3484877,242.0,0.71086925,3.226400014332363,3.226400014332363,1.0
2390000,1.3484541,296.9512195121951,0.78420424,2.569717885592045,2.569717885592045,1.0
2400000,1.3478929,367.1904761904762,0.61573315,2.4764583135644593,2.4764583135644593,1.0
2410000,1.3478884,325.0,0.7200656,2.573228454589844,2.573228454589844,1.0
2420000,1.3477286,410.6,0.43957013,1.5084229868191938,1.5084229868191938,1.0
2430000,1.3477286,245.28571428571428,0.7927235,3.0787499894698462,3.0787499894698462,1.0
2440000,1.3483659,315.15625,0.5821842,2.481468677520752,2.481468677520752,1.0
2450000,1.348449,364.37931034482756,0.30663663,2.03674992280347,2.03674992280347,1.0
2460000,1.3486018,277.03125,0.6069998,2.5923332897099582,2.5923332897099582,1.0
2470000,1.3486197,288.70588235294116,0.8118473,2.818382301751305,2.818382301751305,1.0
2480000,1.3477029,353.5925925925926,0.5076925,2.1171110139952765,2.1171110139952765,1.0
2490000,1.3474177,425.4166666666667,0.18592452,1.196999949713548,1.196999949713548,1.0
2500000,1.3473629,324.89285714285717,0.5034644,2.2949641730104173,2.2949641730104173,1.0
2510000,1.3473568,510.1,-0.01482314,0.18724976480007172,0.18724976480007172,1.0
2520000,1.3476276,402.77777777777777,0.36397827,1.496555436540533,1.496555436540533,1.0
2530000,1.3477548,265.275,0.70590574,2.791524939239025,2.791524939239025,1.0
2540000,1.3478061,332.9642857142857,0.32605672,2.0779998919793536,2.0779998919793536,1.0
2550000,1.3478278,401.69565217391306,0.04490415,1.5289998135783456,1.5289998135783456,1.0
2560000,1.3473219,383.60714285714283,0.056439094,1.1130712905100413,1.1130712905100413,1.0
2570000,1.3468933,327.3,0.7093122,2.4350644657688756,2.4350644657688756,1.0
2580000,1.3461896,274.7368421052632,0.7484578,2.833131558016727,2.833131558016727,1.0
2590000,1.3455489,341.44,0.35485128,2.0867599391937257,2.0867599391937257,1.0
2600000,1.3450708,451.90909090909093,0.24143264,0.9148635078560222,0.9148635078560222,1.0
2610000,1.3444691,318.93548387096774,0.61036235,2.2706128051204066,2.2706128051204066,1.0
2620000,1.3442373,341.1333333333333,0.5420637,2.122433241208394,2.122433241208394,1.0
2630000,1.3438852,471.81481481481484,0.32931805,0.444884527188081,0.444884527188081,1.0
2640000,1.3435367,302.5483870967742,0.56480795,2.658354784211805,2.658354784211805,1.0
2650000,1.3428401,373.8695652173913,0.45170093,1.6542398953437805,1.6542398953437805,1.0
2660000,1.342212,382.5925925925926,0.31271628,1.598555443463502,1.598555443463502,1.0
2670000,1.3405901,532.578947368421,0.18832193,-0.04073698583402132,-0.04073698583402132,1.0
2680000,1.3403457,243.02564102564102,0.7891969,3.0118460808044825,3.0118460808044825,1.0
2690000,1.3395274,345.5925925925926,0.4237944,1.9713332255681355,1.9713332255681355,1.0
2700000,1.3395325,428.95652173913044,0.19102691,1.1091303255247034,1.1091303255247034,1.0
2710000,1.3396113,282.825,0.7164945,2.6533588767051697,2.6533588767051697,1.0
2720000,1.339549,372.5357142857143,0.48381466,1.8044481976278897,1.8044481976278897,1.0
2730000,1.3391215,446.82608695652175,0.29066312,1.2936816947026686,1.2936816947026686,1.0
2740000,1.3391173,282.4,0.7373381,2.4576570681163243,2.4576570681163243,1.0
2750000,1.3390466,276.6551724137931,0.5180738,2.805033246676127,2.805033246676127,1.0
2760000,1.3390484,503.7826086956522,0.06444167,0.3026085444118666,0.3026085444118666,1.0
2770000,1.3390672,248.52631578947367,0.6115073,2.9636315232829045,2.9636315232829045,1.0
2780000,1.3389953,548.7,-0.007882513,-0.23925019800662994,-0.23925019800662994,1.0
2790000,1.3379472,309.45454545454544,0.60623366,2.3775756774526653,2.3775756774526653,1.0
2800000,1.3379347,283.8125,0.4881234,2.530433257420858,2.530433257420858,1.0
2810000,1.3380414,289.8378378378378,0.6349758,2.6909486773686533,2.6909486773686533,1.0
2820000,1.3380414,244.89743589743588,0.8548351,3.157820475407136,3.157820475407136,1.0
2830000,1.3384861,435.2608695652174,0.22355582,1.0429999232292175,1.0429999232292175,1.0
2840000,1.3385562,427.90909090909093,0.19774112,1.1826085785160894,1.1826085785160894,1.0
2850000,1.3386315,424.6666666666667,0.25671056,0.9975831881165504,0.9975831881165504,1.0
2860000,1.338637,379.45454545454544,0.32810092,1.7347726767713374,1.7347726767713374,1.0
2870000,1.3386422,436.76,0.14948817,1.0115998601913452,1.0115998601913452,1.0
2880000,1.3386533,361.92,0.32396755,1.7835999202728272,1.7835999202728272,1.0
2890000,1.338534,457.14285714285717,0.11696854,0.8028570186524164,0.8028570186524164,1.0
2900000,1.3384622,517.8636363636364,0.06399763,0.37719034864788964,0.37719034864788964,1.0
2910000,1.3389432,280.4,0.55366546,2.409414545791905,2.409414545791905,1.0
2920000,1.3392087,372.55,0.39094064,1.8818999230861664,1.8818999230861664,1.0
